id,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,amazon_playlist_count,deezer_playlist_count,itunes_playlist_count,shazam_count,siriusxm_streams,soundcloud_plays,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,tidal_popularity,tiktok_posts,tiktok_top_videos_likes,tiktok_top_videos_views,youtube_likes,youtube_playlist_count,youtube_views
118102467,Pedro,Pedro - Single,2024-03-29,"['Jaxomy', 'Agatino Romero', 'Raffaella Carrà']","['Dance', 'Electronic', 'Pop']",False,0.205544503824,7302.0,45.0,123.0,92.0,3432577.0,,5795831.0,146207.0,110330267.0,374315764.0,75.0,56.0,12707792.0,,7300000.0,387627607.0,5779565340.0,1383514.0,21.0,132564006.0
141776970,EoO,DeBÍ TiRAR MáS FOToS,2025-01-05,['Bad Bunny'],['Latin'],True,0.19843467841,3465.0,17.0,22.0,34.0,413129.0,54.0,856716.0,14817.0,89653370.0,184160475.0,89.0,18.0,33659491.0,,183700.0,59669713.0,488865882.0,516754.0,33.0,57304632.0
100342517,Ella Baila Sola,Ella Baila Sola,2023-03-16,"['Eslabon Armado', 'Peso Pluma']","['Latin', 'Latin Pop']",False,0.197899994632,48120.0,56.0,14.0,83.0,3766095.0,239.0,19013949.0,159867.0,36703272.0,1369105810.0,73.0,30.0,3858959.0,,9604616.0,563503202.0,7665989666.0,4125616.0,11.0,792508400.0
131315290,舞台に立って,舞台に立って,2024-07-26,['YOASOBI'],['J-Pop'],False,0.196764663627,366.0,1.0,2.0,12.0,43733.0,,,2539.0,2141716.0,13850839.0,58.0,3.0,86115.0,,10807946.0,485797105.0,6588961409.0,148938.0,1.0,13864857.0
118961862,Nasty,Nasty,2024-04-12,['Tinashe'],['R&B/Soul'],False,0.196788274646,78817.0,63.0,15.0,42.0,1211518.0,397.0,,43951.0,42973475.0,206539622.0,68.0,44.0,20675642.0,,11535561.0,635790877.0,7756074754.0,843618.0,34.0,72757132.0
89888009,I'm Good (Blue),I'm Good (Blue),2022-08-26,"['David Guetta', 'Bebe Rexha']","['Dance', 'Electronic', 'Pop']",True,0.196846404281,1032201.0,150.0,185.0,278.0,12177931.0,2519.0,9603697.0,315499.0,242586375.0,1998020069.0,82.0,87.0,16541488.0,,1155089.0,101273006.0,2045383887.0,4998810.0,206.0,574640767.0
128056866,Big Dawgs,Big Dawgs,2024-07-09,"['Hanumankind', 'Kalmi']",['Hip-Hop/Rap'],True,0.196622831948,21271.0,87.0,19.0,44.0,4336854.0,83.0,,111177.0,61233793.0,383569060.0,79.0,46.0,11954604.0,,1300000.0,82081673.0,836463776.0,7309349.0,66.0,298898349.0
107344583,Paint The Town Red,Paint The Town Red,2023-08-04,['Doja Cat'],"['Hip-Hop/Rap', 'Pop']",True,0.1958656166,452362.0,137.0,120.0,153.0,8388698.0,313.0,,221447.0,89709755.0,1308969980.0,75.0,67.0,6935180.0,,2319099.0,713488409.0,7879564665.0,3145093.0,163.0,321087724.0
15938657,Despacito,Despacito (Featuring Daddy Yankee),2017-01-13,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']","['Latin Pop', 'Latin']",False,0.195620722317,147330.0,106.0,146.0,181.0,20333975.0,116.0,,210419.0,54573936.0,1879886836.0,76.0,191.0,3948898.0,,1264059.0,117458935.0,1735453222.0,63711211.0,115.0,9837975148.0
117725429,Like That,WE DON'T TRUST YOU,2024-03-22,"['Future', 'Metro Boomin', 'Kendrick Lamar']","['Hip-Hop/Rap', 'Pop']",True,0.195207268203,259750.0,101.0,37.0,113.0,3024222.0,25.0,,177781.0,74031229.0,691725212.0,83.0,48.0,7987297.0,,101100.0,29472848.0,218468746.0,2287299.0,61.0,226865032.0
136979986,Tu Boda,Tu Boda,2024-09-26,"['Oscar Maydon', 'Fuerza Regida']",['Latin'],True,0.195091746854,9279.0,43.0,25.0,49.0,1166798.0,,,23567.0,63584184.0,483161867.0,86.0,31.0,34445059.0,,455300.0,90419400.0,833546700.0,2484946.0,34.0,335369345.0
142580101,Parte & Choke (Remix),Parte & Choke (Remix) - Single,2025-01-23,"['Jombriel', 'Ryan Castro', 'Alex Krack']",['Latin'],,0.193613832035,,,,6.0,136577.0,,,,,,,,,,1700000.0,1220612.0,12476600.0,,,
12450039,Shape of You,Shape of You,2017-01-06,['Ed Sheeran'],"['Pop', 'Singer/Songwriter', 'Electronic']",False,0.193075292478,535177.0,111.0,515.0,480.0,1149659.0,321.0,79938229.0,365666.0,148613229.0,4236865366.0,83.0,409.0,13023818.0,,2242170.0,264528397.0,3707540652.0,47231743.0,120.0,8250305029.0
129595004,Who,MUSE,2024-07-19,['Jimin'],"['Pop', 'K-Pop', 'Dance']",False,0.191279776544,36000.0,58.0,62.0,66.0,1008298.0,509.0,,14410.0,77881988.0,1489609240.0,87.0,52.0,12162542.0,,714900.0,95099162.0,649011979.0,3334488.0,39.0,100558788.0
140986821,Seven Breaths,Sannscripts,2024-12-13,['Norman Sann'],['Others'],False,0.190170881949,,,,,,,,5.0,29.0,25153.0,19.0,0.0,0.0,,,,,2003952.0,12.0,422422156.0
137700853,Starboy,Starboy,2024-01-21,"['Kateria', 'lixin inc.', 'bithynia.']",['Others'],False,0.190000349596,,,,,,,,1.0,8.0,3740285639.0,,0.0,0.0,,,,,,,
